dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision,n,fdp,power,true_discoveries
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,200,0.01,0.2668463611859838,198
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,400,0.0275,0.5242587601078167,389
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,800,0.20125,0.8611859838274932,639
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,1555,0.5524115755627009,0.9380053908355795,696
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,1600,0.563125,0.9420485175202157,699
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,25,0.0,0.033288948069241014,25
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,50,0.02,0.06524633821571238,49
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,100,0.02,0.13049267643142476,98
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,200,0.015,0.2623169107856192,197
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,400,0.0225,0.5206391478029294,391
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,800,0.205,0.8468708388814914,636
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,1555,0.5466237942122186,0.9387483355525965,705
amazon,hgb_attributes,6,864,70,7775,0.9668152220729231,0.8948079424337994,1600,0.559375,0.9387483355525965,705
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,25,0.0,0.033288948069241014,25
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,50,0.0,0.06657789613848203,50
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,100,0.01,0.1318242343541944,99
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,200,0.015,0.2623169107856192,197
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,400,0.0175,0.5233022636484687,393
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,800,0.20125,0.8508655126498003,639
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,1555,0.5376205787781351,0.9573901464713716,719
amazon,hgb_graph_features,6,864,70,7775,0.9751055161076045,0.9066582271657495,1600,0.55,0.9587217043941412,720
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,25,0.0,0.03337783711615487,25
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,50,0.0,0.06675567423230974,50
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,100,0.0,0.13351134846461948,100
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,200,0.005,0.2656875834445928,199
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,400,0.02,0.5233644859813084,392
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,800,0.2,0.8544726301735648,640
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,1555,0.5556270096463023,0.9225634178905207,691
amazon,hgb_attributes,7,864,72,7775,0.9675442577008456,0.8961865956271473,1600,0.5675,0.9238985313751669,692
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,25,0.0,0.03337783711615487,25
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,50,0.0,0.06675567423230974,50
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,100,0.02,0.1308411214953271,98
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,200,0.025,0.260347129506008,195
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,400,0.0275,0.5193591455273698,389
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,800,0.2075,0.8464619492656876,634
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,1555,0.5511254019292604,0.931909212283044,698
amazon,hgb_graph_features,7,864,72,7775,0.9680068728130533,0.8918067450853814,1600,0.56375,0.931909212283044,698
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,25,0.0,0.033738191632928474,25
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,50,0.02,0.06612685560053981,49
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,100,0.02,0.13225371120107962,98
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,200,0.015,0.2658569500674764,197
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,400,0.0175,0.5303643724696356,393
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,800,0.21875,0.8434547908232118,625
