dataset,model,label_fraction,design,method,fdp,power,discoveries,nonempty,n_reference,cal_low,cal_high
weibo_gadbench,hgb_attributes,0.25,exposure_80,filtered_low,0.1682834973548048,0.7644756242159602,181.62,1.0,1267.9,1132.84,135.06
weibo_gadbench,hgb_attributes,0.25,exposure_80,full_random,0.09327295423719185,0.6636558384513835,143.78,1.0,1267.9,1132.84,135.06
weibo_gadbench,hgb_attributes,0.25,exposure_80,stratified,0.01700069556051284,0.40111617108259984,80.56,0.8,1267.9,1132.84,135.06
weibo_gadbench,hgb_attributes,0.25,zero_exposure,filtered_low,0.16394475353059768,0.7584459479821006,179.26,1.0,1267.9,1049.1799999999998,218.71999999999997
weibo_gadbench,hgb_attributes,0.25,zero_exposure,full_random,0.09327295423719185,0.6636558384513835,143.78,1.0,1267.9,1049.1799999999998,218.71999999999997
weibo_gadbench,hgb_attributes,0.25,zero_exposure,stratified,0.02494538635689431,0.4777442490208238,96.52000000000001,0.9199999999999999,1267.9,1049.1799999999998,218.71999999999997
weibo_gadbench,hgb_attributes,0.5,exposure_80,filtered_low,0.18867521131118142,0.7867063185711418,191.35999999999999,1.0,2544.82,2266.8,278.02
weibo_gadbench,hgb_attributes,0.5,exposure_80,full_random,0.09590661531685406,0.6660604068070763,144.72,1.0,2544.82,2266.8,278.02
weibo_gadbench,hgb_attributes,0.5,exposure_80,stratified,0.024818533548726672,0.4893334894510038,98.62,1.0,2544.82,2266.8,278.02
weibo_gadbench,hgb_attributes,0.5,zero_exposure,filtered_low,0.18094382294851097,0.7787849934057776,187.74,1.0,2544.82,1943.3799999999999,601.4399999999999
weibo_gadbench,hgb_attributes,0.5,zero_exposure,full_random,0.09590661531685406,0.6660604068070763,144.72,1.0,2544.82,1943.3799999999999,601.4399999999999
weibo_gadbench,hgb_attributes,0.5,zero_exposure,stratified,0.035562346892184835,0.5368297915512579,109.35999999999999,1.0,2544.82,1943.3799999999999,601.4399999999999
weibo_gadbench,hgb_attributes,1.0,exposure_80,filtered_low,0.21582132722130692,0.8105126344507765,203.48,1.0,5085.8,4536.46,549.3399999999999
weibo_gadbench,hgb_attributes,1.0,exposure_80,full_random,0.09332321463180758,0.6636128815846078,143.66,1.0,5085.8,4536.46,549.3399999999999
weibo_gadbench,hgb_attributes,1.0,exposure_80,stratified,0.02643248972750752,0.4952239513669879,99.86,1.0,5085.8,4536.46,549.3399999999999
weibo_gadbench,hgb_attributes,1.0,zero_exposure,filtered_low,0.1980212982114048,0.7954288739102477,195.28,1.0,5085.8,3454.22,1631.58
weibo_gadbench,hgb_attributes,1.0,zero_exposure,full_random,0.09332321463180758,0.6636128815846078,143.66,1.0,5085.8,3454.22,1631.58
weibo_gadbench,hgb_attributes,1.0,zero_exposure,stratified,0.04235461857864137,0.5589083435555511,114.58,1.0,5085.8,3454.22,1631.58
weibo_gadbench,hgb_graph_features,0.25,exposure_80,filtered_low,0.2584458191012692,0.9687457432299373,256.96,1.0,1267.9,1132.84,135.06
weibo_gadbench,hgb_graph_features,0.25,exposure_80,full_random,0.09430874549709553,0.8453745711245249,183.54000000000002,1.0,1267.9,1132.84,135.06
weibo_gadbench,hgb_graph_features,0.25,exposure_80,stratified,0.022936513433518442,0.47360851124773606,95.96,0.78,1267.9,1132.84,135.06
weibo_gadbench,hgb_graph_features,0.25,zero_exposure,filtered_low,0.2532202515765886,0.9663002579183255,254.6,1.0,1267.9,1049.1799999999998,218.71999999999997
weibo_gadbench,hgb_graph_features,0.25,zero_exposure,full_random,0.09430874549709553,0.8453745711245249,183.54000000000002,1.0,1267.9,1049.1799999999998,218.71999999999997
weibo_gadbench,hgb_graph_features,0.25,zero_exposure,stratified,0.03010006626821537,0.5707523669989114,116.16000000000001,0.8800000000000001,1267.9,1049.1799999999998,218.71999999999997
weibo_gadbench,hgb_graph_features,0.5,exposure_80,filtered_low,0.29009963015056783,0.9740403516694289,269.5,1.0,2544.82,2266.8,278.02
weibo_gadbench,hgb_graph_features,0.5,exposure_80,full_random,0.09043367390068538,0.8459863680876929,182.6,1.0,2544.82,2266.8,278.02
weibo_gadbench,hgb_graph_features,0.5,exposure_80,stratified,0.02035346719908363,0.5228042398870293,104.92,0.9400000000000001,2544.82,2266.8,278.02
weibo_gadbench,hgb_graph_features,0.5,zero_exposure,filtered_low,0.2802097582043689,0.972312218846598,265.46,1.0,2544.82,1943.3799999999999,601.4399999999999
weibo_gadbench,hgb_graph_features,0.5,zero_exposure,full_random,0.09043367390068538,0.8459863680876929,182.6,1.0,2544.82,1943.3799999999999,601.4399999999999
weibo_gadbench,hgb_graph_features,0.5,zero_exposure,stratified,0.0291998688245834,0.6302350161610671,127.55999999999999,1.0,2544.82,1943.3799999999999,601.4399999999999
weibo_gadbench,hgb_graph_features,1.0,exposure_80,filtered_low,0.31669943893278185,0.9784187069320456,281.06,1.0,5085.8,4536.46,549.3399999999999
weibo_gadbench,hgb_graph_features,1.0,exposure_80,full_random,0.09296134106279942,0.8483463134584808,183.54,1.0,5085.8,4536.46,549.3399999999999
weibo_gadbench,hgb_graph_features,1.0,exposure_80,stratified,0.02302445606945722,0.5665980529158207,113.94000000000001,1.0,5085.8,4536.46,549.3399999999999
weibo_gadbench,hgb_graph_features,1.0,zero_exposure,filtered_low,0.3105801374462968,0.9775100203805019,278.44,1.0,5085.8,3454.22,1631.58
weibo_gadbench,hgb_graph_features,1.0,zero_exposure,full_random,0.09296134106279942,0.8483463134584808,183.54,1.0,5085.8,3454.22,1631.58
weibo_gadbench,hgb_graph_features,1.0,zero_exposure,stratified,0.03497893657299173,0.6733145745417465,136.9,1.0,5085.8,3454.22,1631.58
