dataset,model,label_fraction,design,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std,cal_low_mean,cal_low_std,cal_high_mean,cal_high_std,test_low_mean,test_low_std,test_high_mean,test_high_std
tfinance,hgb_graph_features,0.25,exposure_80,stratified,0.03831048651078803,0.005245326520118566,0.7307809501940055,0.011115504742440786,308.24,5.693505071570576,296.26,4.829584753256629,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,5292.9800000000005,22.064239544263984,1050.24,7.6569793870255465,7081.56,12.502373108067715,1773.64,12.61315010437743
tfinance,hgb_graph_features,0.25,zero_exposure,filtered_low,0.12265323689024576,0.027439094004928225,0.8026501927594267,0.02203045465334373,372.3,21.247378923319257,325.38,8.48970618520518,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,2903.46,63.35922628596057,3439.7599999999998,59.70846208406692,3906.0199999999995,85.45067193026235,4949.18,85.29011666072451
tfinance,hgb_graph_features,0.25,zero_exposure,full_random,0.0922075381315802,0.010128654327582849,0.7869877097392484,0.009086593060764746,351.82,5.548533339741435,319.04,3.537481841335408,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,2903.46,63.35922628596057,3439.7599999999998,59.70846208406692,3906.0199999999995,85.45067193026235,4949.18,85.29011666072451
tfinance,hgb_graph_features,0.25,zero_exposure,stratified,0.04341100487727962,0.006251266849226523,0.7435141492196362,0.009536440948904329,315.28000000000003,4.989945446150246,301.41999999999996,4.084061159624747,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,2903.46,63.35922628596057,3439.7599999999998,59.70846208406692,3906.0199999999995,85.45067193026235,4949.18,85.29011666072451
tfinance,hgb_graph_features,0.5,exposure_80,filtered_low,0.19162695720052905,0.025840910612536665,0.8302149512168002,0.01487942561399908,417.28000000000003,19.242360677537576,336.56,5.679436591775633,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,10574.619999999999,23.567859470049378,2103.12,12.267826032168761,7085.76,10.079153403601664,1769.44,10.091492566623748
tfinance,hgb_graph_features,0.5,exposure_80,full_random,0.09503375506337562,0.008084070328120625,0.7889561155915674,0.012424998558620573,353.71999999999997,7.649662301914583,319.84000000000003,5.076131510423176,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,10574.619999999999,23.567859470049378,2103.12,12.267826032168761,7085.76,10.079153403601664,1769.44,10.091492566623748
tfinance,hgb_graph_features,0.5,exposure_80,stratified,0.03787645631767048,0.003779192225977884,0.7369500045310742,0.01080318402544266,310.62,5.212335795441852,298.76,4.651212506194245,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,10574.619999999999,23.567859470049378,2103.12,12.267826032168761,7085.76,10.079153403601664,1769.44,10.091492566623748
tfinance,hgb_graph_features,0.5,zero_exposure,filtered_low,0.12176241571067074,0.027316412275002692,0.8025075313342155,0.023097295638484436,371.64,21.241845494212605,325.32,8.84995919639054,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,4896.12,84.129910125815,7781.62,82.11322535242266,3295.3599999999997,57.13460130837247,5559.84,56.99152373623469
tfinance,hgb_graph_features,0.5,zero_exposure,full_random,0.09503375506337562,0.008084070328120625,0.7889561155915674,0.012424998558620573,353.71999999999997,7.649662301914583,319.84000000000003,5.076131510423176,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,4896.12,84.129910125815,7781.62,82.11322535242266,3295.3599999999997,57.13460130837247,5559.84,56.99152373623469
tfinance,hgb_graph_features,0.5,zero_exposure,stratified,0.044139033629622404,0.006020872251506272,0.7508721846250295,0.009685696889541537,318.54,4.61114591686999,304.4,3.8941551644027235,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,4896.12,84.129910125815,7781.62,82.11322535242266,3295.3599999999997,57.13460130837247,5559.84,56.99152373623469
