phase,dataset,model,label_fraction,design,scenario,mean,std,count,lower,upper,method,metric
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,-0.20900095286951487,0.05587634882591056,10,-0.24897248488255583,-0.1690294208564739,size_alpha,power
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,0.053326701709258774,0.0336788655882252,10,0.029234292625464106,0.07741911079305344,size_alpha,power
acquisition,amazon,hgb_attributes,0.0,zero_exposure,moderate,0.008363683456573423,0.03099163933177237,10,-0.013806399766762017,0.030533766679908862,size_alpha,power
acquisition,amazon,hgb_attributes,0.0,zero_exposure,neutral,-0.01411600540352379,0.02985062361199287,10,-0.035469855151893874,0.007237844344846292,size_alpha,power
acquisition,amazon,hgb_attributes,0.0,zero_exposure,severe,-0.043750269871405824,0.027391273323873675,10,-0.0633448064069689,-0.024155733335842748,size_alpha,power
acquisition,amazon,hgb_graph_features,0.0,exposure_80,moderate,-0.052400857200176676,0.07685950248800255,10,-0.10738283309443879,0.0025811186940854353,size_alpha,power
acquisition,amazon,hgb_graph_features,0.0,exposure_80,neutral,-0.19715818987083952,0.06694403682365554,10,-0.245047068926196,-0.14926931081548306,size_alpha,power
acquisition,amazon,hgb_graph_features,0.0,exposure_80,severe,0.06847085108343509,0.023628866830757055,10,0.05156777801579186,0.08537392415107832,size_alpha,power
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,moderate,0.0031575311772463976,0.040451234044477875,10,-0.025779538451506514,0.03209460080599931,size_alpha,power
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,neutral,-0.022410198582078857,0.03564781974679042,10,-0.04791111262074281,0.003090715456585097,size_alpha,power
acquisition,amazon,hgb_graph_features,0.0,zero_exposure,severe,-0.05520514815149265,0.025374869569473574,10,-0.07335723633612043,-0.03705305996686486,size_alpha,power
acquisition,tfinance,hgb_attributes,0.0,exposure_80,moderate,-0.13939969195211846,0.06722814646320495,10,-0.18749181080017943,-0.09130757310405749,size_alpha,power
acquisition,tfinance,hgb_attributes,0.0,exposure_80,neutral,-0.04103312838144626,0.014491364933782832,10,-0.051399626363768935,-0.030666630399123585,size_alpha,power
acquisition,tfinance,hgb_attributes,0.0,exposure_80,severe,-0.033864076923304,0.024722712326943223,10,-0.05154963992070892,-0.01617851392589909,size_alpha,power
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,moderate,-0.009061650449689785,0.006418634078566973,10,-0.013653264664691321,-0.004470036234688247,size_alpha,power
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,neutral,-0.007322935899818528,0.00573392662185102,10,-0.011424739907088699,-0.0032211318925483567,size_alpha,power
acquisition,tfinance,hgb_attributes,0.0,zero_exposure,severe,-0.10496594419442207,0.04043879450530088,10,-0.13389411511291763,-0.07603777327592652,size_alpha,power
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,moderate,-0.1424380551831304,0.06645709071641168,10,-0.18997859397783445,-0.09489751638842636,size_alpha,power
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,neutral,-0.05630118427097972,0.013627978977971307,10,-0.06605005314729454,-0.04655231539466491,size_alpha,power
acquisition,tfinance,hgb_graph_features,0.0,exposure_80,severe,-0.1911746181233634,0.030371481369042146,10,-0.21290106706526707,-0.16944816918145972,size_alpha,power
