dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
amazon,hgb_attributes,0.25,0.4,exposure,9,0.10109147949149248,0.8064516129032258,167.2,1.0,793.6,1322.0
amazon,hgb_attributes,0.25,0.4,random,0,0.10489386999395903,0.7752648648648648,161.256,1.0,808.6,1347.2
amazon,hgb_attributes,0.25,0.4,random,1,0.10391958103836063,0.7843278688524592,160.728,1.0,791.2,1318.2
amazon,hgb_attributes,0.25,0.4,random,2,0.10055483882992826,0.7593879781420766,154.716,1.0,800.6,1333.6
amazon,hgb_attributes,0.25,0.4,random,3,0.05861702367351138,0.7623655913978494,152.092,1.0,809.0,1347.6
amazon,hgb_attributes,0.25,0.4,random,4,0.07125823441024418,0.748108695652174,148.51600000000002,1.0,812.0,1352.6
amazon,hgb_attributes,0.25,0.4,random,5,0.08077785381985511,0.7664731182795699,155.424,1.0,791.4,1318.6
amazon,hgb_attributes,0.25,0.4,random,6,0.07908645310465783,0.7597021276595745,155.38,1.0,780.2,1299.6
amazon,hgb_attributes,0.25,0.4,random,7,0.10408391231898544,0.7863957219251337,164.96800000000002,1.0,782.6,1303.8
amazon,hgb_attributes,0.25,0.4,random,8,0.08762419327704435,0.7683243243243243,156.112,1.0,795.2,1325.0
amazon,hgb_attributes,0.25,0.4,random,9,0.0672099441188289,0.753763440860215,151.01600000000002,1.0,793.6,1322.0
amazon,hgb_attributes,0.25,0.6,exposure,0,0.13032982468015974,0.8086486486486487,172.2,1.0,539.4,1347.2
amazon,hgb_attributes,0.25,0.6,exposure,1,0.16776962676962676,0.8131147540983606,181.6,1.0,528.0,1318.2
amazon,hgb_attributes,0.25,0.6,exposure,2,0.13094639791324664,0.7748633879781421,163.4,1.0,533.8,1333.6
amazon,hgb_attributes,0.25,0.6,exposure,3,0.11631743079894141,0.846236559139785,178.8,1.0,539.6,1347.6
amazon,hgb_attributes,0.25,0.6,exposure,4,0.10471402952038385,0.775,159.6,1.0,541.6,1352.6
amazon,hgb_attributes,0.25,0.6,exposure,5,0.11045594078384942,0.7956989247311828,166.8,1.0,527.8,1318.6
amazon,hgb_attributes,0.25,0.6,exposure,6,0.07035787375521894,0.7563829787234042,153.0,1.0,520.2,1299.6
amazon,hgb_attributes,0.25,0.6,exposure,7,0.13907803757791307,0.813903743315508,178.2,1.0,521.8,1303.8
amazon,hgb_attributes,0.25,0.6,exposure,8,0.13160726463511815,0.7902702702702703,169.2,1.0,530.4,1325.0
amazon,hgb_attributes,0.25,0.6,exposure,9,0.10225524509696353,0.767741935483871,160.4,1.0,529.0,1322.0
amazon,hgb_attributes,0.25,0.6,random,0,0.100220499626907,0.7533405405405406,156.6,1.0,539.4,1347.2
amazon,hgb_attributes,0.25,0.6,random,1,0.09738692346494529,0.7762841530054645,158.176,1.0,528.0,1318.2
amazon,hgb_attributes,0.25,0.6,random,2,0.09862509858608688,0.7567213114754099,154.028,1.0,533.8,1333.6
amazon,hgb_attributes,0.25,0.6,random,3,0.06192216078251271,0.7455698924731182,149.664,1.0,539.6,1347.6
amazon,hgb_attributes,0.25,0.6,random,4,0.07051304350433783,0.7385652173913044,146.704,1.0,541.6,1352.6
amazon,hgb_attributes,0.25,0.6,random,5,0.07874933870778009,0.7541935483870967,152.844,0.992,527.8,1318.6
amazon,hgb_attributes,0.25,0.6,random,6,0.07712675423988011,0.751,153.48399999999998,0.9960000000000001,520.2,1299.6
amazon,hgb_attributes,0.25,0.6,random,7,0.09675964091953868,0.7708663101604278,160.824,1.0,521.8,1303.8
amazon,hgb_attributes,0.25,0.6,random,8,0.0813326303842929,0.7476756756756757,151.28,0.992,530.4,1325.0
amazon,hgb_attributes,0.25,0.6,random,9,0.06435987425975535,0.661483870967742,133.332,0.9280000000000002,529.0,1322.0
amazon,hgb_attributes,0.25,0.8,exposure,0,0.14248709137968485,0.7772972972972974,170.6,1.0,269.8,1347.2
amazon,hgb_attributes,0.25,0.8,exposure,1,0.12700869519318608,0.7573770491803279,164.2,1.0,264.2,1318.2
amazon,hgb_attributes,0.25,0.8,exposure,2,0.09411470520379081,0.7540983606557377,152.6,1.0,267.2,1333.6
amazon,hgb_attributes,0.25,0.8,exposure,3,0.0812979797979798,0.7774193548387096,159.4,1.0,270.2,1347.6
amazon,hgb_attributes,0.25,0.8,exposure,4,0.07592386062362505,0.7543478260869565,150.6,1.0,271.0,1352.6
amazon,hgb_attributes,0.25,0.8,exposure,5,0.10921638854989028,0.7999139784946236,167.384,1.0,264.0,1318.6
amazon,hgb_attributes,0.25,0.8,exposure,6,0.06518169741275329,0.723404255319149,146.2,1.0,260.4,1299.6
amazon,hgb_attributes,0.25,0.8,exposure,7,0.14199791227007924,0.7957219251336899,175.6,1.0,261.0,1303.8
amazon,hgb_attributes,0.25,0.8,exposure,8,0.09710218520084542,0.6302702702702703,133.0,0.8,265.2,1325.0
amazon,hgb_attributes,0.25,0.8,exposure,9,0.06909105922620032,0.6053763440860215,123.8,0.8,264.6,1322.0
amazon,hgb_attributes,0.25,0.8,random,0,0.08670262006947485,0.6484972972972973,134.956,0.852,269.8,1347.2
amazon,hgb_attributes,0.25,0.8,random,1,0.09118026114500817,0.7298360655737705,148.672,0.9719999999999999,264.2,1318.2
amazon,hgb_attributes,0.25,0.8,random,2,0.09274596571622773,0.6982295081967214,142.876,0.944,267.2,1333.6
amazon,hgb_attributes,0.25,0.8,random,3,0.0544366649370832,0.6459354838709678,129.684,0.8880000000000001,270.2,1347.6
amazon,hgb_attributes,0.25,0.8,random,4,0.06349362405128475,0.6325217391304349,126.148,0.8960000000000001,271.0,1352.6
amazon,hgb_attributes,0.25,0.8,random,5,0.07160873402609554,0.6459139784946236,132.068,0.8879999999999999,264.0,1318.6
amazon,hgb_attributes,0.25,0.8,random,6,0.07304755675307376,0.6486595744680851,133.732,0.8960000000000001,260.4,1299.6
amazon,hgb_attributes,0.25,0.8,random,7,0.07796041563048321,0.654139037433155,135.9,0.8960000000000001,261.0,1303.8
amazon,hgb_attributes,0.25,0.8,random,8,0.0721102840065521,0.6181837837837838,126.15599999999999,0.844,265.2,1325.0
amazon,hgb_attributes,0.25,0.8,random,9,0.05384720051651441,0.5167311827956989,105.03600000000002,0.6759999999999999,264.6,1322.0
amazon,hgb_attributes,0.25,0.9,exposure,0,0.08968325602098082,0.47654054054054057,105.86399999999999,0.588,135.0,1347.2
amazon,hgb_attributes,0.25,0.9,exposure,1,0.11799268567497156,0.5243497267759563,119.772,0.628,132.2,1318.2
amazon,hgb_attributes,0.25,0.9,exposure,2,0.06306299654060013,0.42714754098360663,89.132,0.5640000000000001,133.8,1333.6
amazon,hgb_attributes,0.25,0.9,exposure,3,0.08464826365575483,0.5166021505376344,113.0,0.616,135.4,1347.6
amazon,hgb_attributes,0.25,0.9,exposure,4,0.0614979897164778,0.4579347826086956,95.05600000000001,0.592,135.6,1352.6
amazon,hgb_attributes,0.25,0.9,exposure,5,0.08054036787330252,0.5533333333333333,117.52000000000001,0.688,132.4,1318.6
amazon,hgb_attributes,0.25,0.9,exposure,6,0.04674647616943771,0.3798510638297873,79.49199999999999,0.488,130.6,1299.6
amazon,hgb_attributes,0.25,0.9,exposure,7,0.11075113748978375,0.5779893048128342,129.44400000000002,0.696,130.8,1303.8
amazon,hgb_attributes,0.25,0.9,exposure,8,0.18404801666145523,0.6042810810810811,158.496,0.712,132.8,1325.0
amazon,hgb_attributes,0.25,0.9,exposure,9,0.04536538956895973,0.3313978494623656,69.36,0.41600000000000004,132.4,1322.0
amazon,hgb_attributes,0.25,0.9,random,0,0.07713038263933501,0.4636756756756757,99.688,0.58,135.0,1347.2
amazon,hgb_attributes,0.25,0.9,random,1,0.07353609173659868,0.45602185792349725,96.444,0.572,132.2,1318.2
amazon,hgb_attributes,0.25,0.9,random,2,0.07312906529728994,0.4325027322404372,91.636,0.5599999999999999,133.8,1333.6
amazon,hgb_attributes,0.25,0.9,random,3,0.052693471127509176,0.43103225806451617,89.636,0.52,135.4,1347.6
amazon,hgb_attributes,0.25,0.9,random,4,0.05397069653735538,0.3660652173913043,76.62,0.46799999999999997,135.6,1352.6
amazon,hgb_attributes,0.25,0.9,random,5,0.05485802059814313,0.3464301075268817,74.924,0.42400000000000004,132.4,1318.6
amazon,hgb_attributes,0.25,0.9,random,6,0.06264328735613374,0.42004255319148937,90.08399999999999,0.54,130.6,1299.6
amazon,hgb_attributes,0.25,0.9,random,7,0.06901213251903802,0.4102032085561498,89.828,0.5,130.8,1303.8
amazon,hgb_attributes,0.25,0.9,random,8,0.0661313369469895,0.4147027027027027,88.43199999999999,0.528,132.8,1325.0
amazon,hgb_attributes,0.25,0.9,random,9,0.0482709787760582,0.35556989247311827,74.636,0.44000000000000006,132.4,1322.0
amazon,hgb_attributes,0.25,0.97,exposure,0,0.00255441478439425,0.003805405405405406,1.948,0.004,41.0,1347.2
amazon,hgb_attributes,0.25,0.97,exposure,1,0.002600397614314115,0.003846994535519126,2.012,0.004,40.0,1318.2
amazon,hgb_attributes,0.25,0.97,exposure,2,0.0,0.0,0.0,0.0,40.6,1333.6
amazon,hgb_attributes,0.25,0.97,exposure,3,0.0,0.0,0.0,0.0,40.8,1347.6
amazon,hgb_attributes,0.25,0.97,exposure,4,0.0,0.0,0.0,0.0,41.2,1352.6
amazon,hgb_attributes,0.25,0.97,exposure,5,0.008205376592513306,0.011591397849462367,6.9319999999999995,0.012,40.0,1318.6
amazon,hgb_attributes,0.25,0.97,exposure,6,0.0,0.0,0.0,0.0,39.6,1299.6
amazon,hgb_attributes,0.25,0.97,exposure,7,0.0,0.0,0.0,0.0,39.8,1303.8
amazon,hgb_attributes,0.25,0.97,exposure,8,0.00775746316196205,0.011372972972972973,5.9719999999999995,0.012,40.2,1325.0
amazon,hgb_attributes,0.25,0.97,exposure,9,0.0,0.0,0.0,0.0,40.2,1322.0
amazon,hgb_attributes,0.25,0.97,random,0,0.0,0.0,0.0,0.0,41.0,1347.2
amazon,hgb_attributes,0.25,0.97,random,1,0.0,0.0,0.0,0.0,40.0,1318.2
amazon,hgb_attributes,0.25,0.97,random,2,0.002475770925110132,0.0037814207650273225,1.816,0.004,40.6,1333.6
amazon,hgb_attributes,0.25,0.97,random,3,0.0,0.0,0.0,0.0,40.8,1347.6
amazon,hgb_attributes,0.25,0.97,random,4,0.002534736842105263,0.0037826086956521737,1.9,0.004,41.2,1352.6
amazon,hgb_attributes,0.25,0.97,random,5,0.0,0.0,0.0,0.0,40.0,1318.6
amazon,hgb_attributes,0.25,0.97,random,6,0.0,0.0,0.0,0.0,39.6,1299.6
amazon,hgb_attributes,0.25,0.97,random,7,0.0,0.0,0.0,0.0,39.8,1303.8
amazon,hgb_attributes,0.25,0.97,random,8,0.0,0.0,0.0,0.0,40.2,1325.0
amazon,hgb_attributes,0.25,0.97,random,9,0.0,0.0,0.0,0.0,40.2,1322.0
amazon,hgb_attributes,0.5,0.0,exposure,0,0.10337191605400473,0.7805405405405406,161.6,1.0,2661.0,2661.0
amazon,hgb_attributes,0.5,0.0,exposure,1,0.10141835607413582,0.7846994535519126,160.0,1.0,2653.2,2653.2
amazon,hgb_attributes,0.5,0.0,exposure,2,0.10765658873803534,0.7650273224043717,157.0,1.0,2627.0,2627.0
amazon,hgb_attributes,0.5,0.0,exposure,3,0.06794283086307759,0.810752688172043,162.8,1.0,2648.0,2648.0
amazon,hgb_attributes,0.5,0.0,exposure,4,0.07134024841837609,0.7554347826086956,149.8,1.0,2661.0,2661.0
amazon,hgb_attributes,0.5,0.0,exposure,5,0.07390820122605543,0.7666666666666667,154.0,1.0,2654.4,2654.4
amazon,hgb_attributes,0.5,0.0,exposure,6,0.08085161329191064,0.7574468085106384,155.0,1.0,2632.4,2632.4
amazon,hgb_attributes,0.5,0.0,exposure,7,0.10439552681046174,0.7967914438502673,166.4,1.0,2616.4,2616.4
amazon,hgb_attributes,0.5,0.0,exposure,8,0.10005091722115922,0.7794594594594595,160.4,1.0,2637.6,2637.6
