phase,dataset,model,label_fraction,design,scenario,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std
allocation,tfinance,hgb_attributes,0.25,zero_exposure,uniform,pooled_reference,0.09299338257119841,0.015400370626766935,0.6504172131434698,0.01128728416487307,291.15999999999997,9.739176328394278,263.68,4.802962049032292,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,zero_exposure,uniform,pooled_stratum,0.09039800389703737,0.016184400559821063,0.6575921581724128,0.014441191091896875,293.5,10.81778371222335,266.58000000000004,5.590825818547137,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,zero_exposure,uniform,size_alpha,0.05090161091510702,0.009909389700416493,0.6379540082933163,0.014061590020083775,272.76,7.946935118508126,258.62,5.507530198636122,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.5,exposure_80,uniform,equal_alpha,0.03687508272430688,0.009093666676359144,0.6276859411994534,0.012257914898468418,264.32,6.002369902333966,254.45999999999998,4.902652343374958,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,exposure_80,uniform,filtered_low,0.12652431394353444,0.01377596254461718,0.6686255709661739,0.007516399254580276,310.9,7.90794256147296,271.06,3.242838263003568,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,exposure_80,uniform,pooled_reference,0.09327769117446823,0.011753260489967627,0.650620853500384,0.009884463313763785,291.24,7.458209496178602,263.76,4.08553002137489,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,exposure_80,uniform,pooled_stratum,0.09502417982573794,0.01372105616875341,0.6077713249741984,0.0261121085111378,272.65999999999997,14.136493357422289,246.38000000000002,10.38693623954843,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,exposure_80,uniform,size_alpha,0.01603654287375356,0.00504456433064258,0.5808817914562895,0.0300474929960317,239.42,12.654186834579482,235.48000000000002,12.03705390312209,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,zero_exposure,uniform,equal_alpha,0.04524165112349897,0.009769813956634985,0.6330096073901925,0.011217626691046197,268.91999999999996,6.719920634451958,256.62,4.587373976470629,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,zero_exposure,uniform,filtered_low,0.06706186116238234,0.01265624875989889,0.626277088934281,0.017299288599663478,272.58000000000004,10.482768930222791,253.9,7.399249211162502,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,zero_exposure,uniform,pooled_reference,0.09327769117446823,0.011753260489967627,0.650620853500384,0.009884463313763785,291.24,7.458209496178602,263.76,4.08553002137489,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,zero_exposure,uniform,pooled_stratum,0.09176322054010601,0.0141678687965395,0.6600036431391166,0.00980176903779471,294.96,8.170842469823205,267.56,3.771000456701689,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_attributes,0.5,zero_exposure,uniform,size_alpha,0.05612428090534606,0.010237273378894228,0.6460399983820334,0.008655845666173582,277.68,5.837198719324976,261.9,3.353605025441532,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
