dataset,model,seed,n,fdp,power,true_discoveries
tolokers,dominant_pygod,7,200,0.41,0.04598597038191738,118
tolokers,dominant_pygod,7,400,0.5,0.0779423226812159,200
tolokers,dominant_pygod,7,800,0.59375,0.12665627435697585,325
tolokers,dominant_pygod,7,1600,0.6775,0.20109119251753702,516
tolokers,dominant_pygod,7,2351,0.7141641854529988,0.2618862042088854,672
tolokers,dominant_pygod,8,25,0.28,0.007014809041309431,18
tolokers,dominant_pygod,8,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,8,100,0.31,0.026890101325019487,69
tolokers,dominant_pygod,8,200,0.405,0.04637568199532346,119
tolokers,dominant_pygod,8,400,0.5,0.0779423226812159,200
tolokers,dominant_pygod,8,800,0.595,0.12626656274356976,324
tolokers,dominant_pygod,8,1600,0.67625,0.20187061574434917,518
tolokers,dominant_pygod,8,2351,0.7141641854529988,0.2618862042088854,672
tolokers,dominant_pygod,9,25,0.28,0.007014809041309431,18
tolokers,dominant_pygod,9,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,9,100,0.32,0.026500389711613406,68
tolokers,dominant_pygod,9,200,0.42,0.04520654715510522,116
tolokers,dominant_pygod,9,400,0.5025,0.07755261106780982,199
tolokers,dominant_pygod,9,800,0.595,0.12626656274356976,324
tolokers,dominant_pygod,9,1600,0.678125,0.20070148090413095,515
tolokers,dominant_pygod,9,2351,0.7150148872820077,0.26110678098207324,670
tolokers,gae,0,25,0.96,0.0003897116134060795,1
tolokers,gae,0,50,0.9,0.0019485580670303975,5
tolokers,gae,0,100,0.93,0.0027279812938425566,7
tolokers,gae,0,200,0.925,0.005845674201091193,15
tolokers,gae,0,400,0.8525,0.02299298519095869,59
tolokers,gae,0,800,0.82625,0.05416991426344505,139
tolokers,gae,0,1600,0.79875,0.1254871395167576,322
tolokers,gae,0,2351,0.8179498085920884,0.16679657053780203,428
tolokers,gae,1,25,0.96,0.0003897116134060795,1
tolokers,gae,1,50,0.9,0.0019485580670303975,5
tolokers,gae,1,100,0.94,0.002338269680436477,6
tolokers,gae,1,200,0.915,0.006625097427903352,17
tolokers,gae,1,400,0.845,0.024162120031176928,62
tolokers,gae,1,800,0.83125,0.052611067809820736,135
tolokers,gae,1,1600,0.806875,0.12042088854247857,309
tolokers,gae,1,2351,0.8256061250531689,0.1597817614964926,410
tolokers,gae,2,25,0.96,0.0003897116134060795,1
tolokers,gae,2,50,0.9,0.0019485580670303975,5
tolokers,gae,2,100,0.95,0.0019485580670303975,5
tolokers,gae,2,200,0.92,0.006235385814497272,16
tolokers,gae,2,400,0.8575,0.022213561964146533,57
tolokers,gae,2,800,0.8275,0.05378020265003897,138
tolokers,gae,2,1600,0.805625,0.12120031176929072,311
tolokers,gae,2,2351,0.8234793704806466,0.161730319563523,415
tolokers,gae,3,25,0.96,0.0003897116134060795,1
tolokers,gae,3,50,0.9,0.0019485580670303975,5
tolokers,gae,3,100,0.93,0.0027279812938425566,7
tolokers,gae,3,200,0.915,0.006625097427903352,17
tolokers,gae,3,400,0.8425,0.024551831644583008,63
tolokers,gae,3,800,0.83,0.05300077942322681,136
tolokers,gae,3,1600,0.805625,0.12120031176929072,311
tolokers,gae,3,2351,0.8251807741386644,0.16017147310989868,411
tolokers,gae,4,25,0.96,0.0003897116134060795,1
tolokers,gae,4,50,0.9,0.0019485580670303975,5
tolokers,gae,4,100,0.93,0.0027279812938425566,7
tolokers,gae,4,200,0.92,0.006235385814497272,16
tolokers,gae,4,400,0.84,0.02494154325798909,64
tolokers,gae,4,800,0.8275,0.05378020265003897,138
