phase,dataset,model,label_fraction,design,scenario,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,6,0.002941263357104941,0.030425531914893614,5.94,5.72,0.08,2916.62,864.0,2636.14
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,7,0.00476409377459245,0.0962566844919786,18.38,18.0,0.24,2910.9,864.0,2628.12
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,8,0.0020511514526731405,0.03924324324324324,7.52,7.26,0.06,2913.64,864.0,2635.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,9,0.002541544477028348,0.01956989247311828,3.8,3.64,0.06,2913.68,864.0,2632.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,0,0.041591101903146036,0.22843243243243244,44.66,42.26,0.88,2358.52,864.0,2216.0
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,1,0.041659006961834805,0.24120218579234973,46.44,44.14,1.0,2355.56,864.0,2218.3
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,2,0.05981171718837775,0.23114754098360657,45.26,42.3,1.0,2368.02,864.0,2226.64
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,3,0.044467763844259746,0.32526881720430106,63.62,60.5,1.0,2358.4,864.0,2212.58
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,4,0.05064159708893973,0.29945652173913045,58.18,55.1,1.0,2353.9,864.0,2221.76
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,5,0.035815733373681484,0.2296774193548387,44.64,42.72,0.98,2364.16,864.0,2227.2
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,6,0.029194191894363807,0.33244680851063824,64.5,62.5,1.0,2363.98,864.0,2213.36
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,7,0.03173048034490955,0.2667379679144385,52.06,49.88,1.0,2353.92,864.0,2199.24
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,8,0.044166094940780755,0.2135135135135135,42.2,39.5,0.78,2359.2,864.0,2223.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,equal_alpha,9,0.043644624962041495,0.21376344086021504,42.18,39.76,0.82,2362.24,864.0,2218.38
