dataset,model,method,budget,discoveries,true_discoveries,fdp,power,unreviewed_recall,audit_labels,reviewed_anomalies,abstain,certificate_failure,simultaneous_bound_failure,true_discoveries_seed_sd,power_seed_sd
tolokers,gae,uniform_graph,250,0.0,0.0,0.0,0.0,0.0,250.0,54.437,1.0,0.0,0.013000000000000001,0.0,0.0
tolokers,gae,uniform_graph,500,0.0,0.0,0.0,0.0,0.0,500.0,109.23599999999999,1.0,0.0,0.0155,0.0,0.0
tolokers,isolation_forest,score_degree_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,10.8645,1.0,0.0,0.0,0.0,0.0
tolokers,isolation_forest,score_degree_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,29.401,1.0,0.0,0.0,0.0,0.0
tolokers,isolation_forest,score_degree_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,68.5735,1.0,0.0,0.0,0.0,0.0
tolokers,isolation_forest,score_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,10.89,1.0,0.0,0.004,0.0,0.0
tolokers,isolation_forest,score_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,29.477999999999998,1.0,0.0,0.002,0.0,0.0
tolokers,isolation_forest,score_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,68.3765,1.0,0.0,0.001,0.0,0.0
tolokers,isolation_forest,uniform_candidates,100,0.0,0.0,0.0,0.0,0.0,100.0,17.392,1.0,0.0,0.0155,0.0,0.0
tolokers,isolation_forest,uniform_candidates,250,0.0,0.0,0.0,0.0,0.0,250.0,43.798500000000004,1.0,0.0,0.0165,0.0,0.0
tolokers,isolation_forest,uniform_candidates,500,0.0,0.0,0.0,0.0,0.0,500.0,87.482,1.0,0.0,0.014000000000000002,0.0,0.0
tolokers,isolation_forest,uniform_graph,100,0.0,0.0,0.0,0.0,0.0,100.0,21.9635,1.0,0.0,0.0115,0.0,0.0
tolokers,isolation_forest,uniform_graph,250,0.0,0.0,0.0,0.0,0.0,250.0,54.589,1.0,0.0,0.01,0.0,0.0
tolokers,isolation_forest,uniform_graph,500,0.0,0.0,0.0,0.0,0.0,500.0,108.94749999999999,1.0,0.0,0.017499999999999998,0.0,0.0
