dataset,detector,seed,beta,alpha,n_calib,m_test,n_null,spearman_score_degree,n_discoveries,realized_fdr,power,gamma_hat,gamma_at_bh,mean_p,ks_uniform,mean_p_null_p,q_is_monotone,q_kendall_tau,gamma_t0.03731,n_below_t0.03731,gamma_t0.0522,n_below_t0.0522,gamma_t0.07304,n_below_t0.07304,gamma_t0.10218,n_below_t0.10218,gamma_t0.14295,n_below_t0.14295,gamma_t0.2,n_below_t0.2,gamma_t_lo,t_lo
amazon,dominant_pygod,1,0.5,0.1,267,5821,5000,0.8831449653795782,3300,0.8721212121212121,0.5140073081607796,3.077939393939394,10.153235151515151,0.16747313432835823,0.5197432835820895,0.0,True,-0.9211323729436766,14.00696864111498,2613,10.7088122605364,2795,8.258488499452355,3016,6.202779408886279,3169,4.66876530255334,3337,3.635,3635,14.00696864111498,0.03731
amazon,dominant_pygod,1,0.75,0.1,267,5821,5000,0.8469317741675093,2589,0.8690614136732329,0.41291108404384896,2.969927272727273,10.117612977983777,0.19405522388059698,0.48513134328358215,0.0,True,-0.9211323729436766,11.0426159206647,2060,8.984674329501914,2345,7.072836801752464,2583,5.6410256410256405,2882,4.446309898565933,3178,3.536,3536,11.0426159206647,0.03731
amazon,dominant_pygod,1,1.0,0.1,267,5821,5000,0.776546001304083,0,0.0,0.0,2.809939393939394,nan,0.23480671641791045,0.44573134328358205,0.0,True,-0.9211323729436766,4.792280889841865,894,6.053639846743295,1580,5.18619934282585,1894,4.419651595224114,2258,3.9552291010842953,2827,3.231,3231,4.792280889841865,0.03731
amazon,dominant_pygod,1,1.25,0.1,267,5821,5000,0.6464963947471395,0,0.0,0.0,2.549248484848485,nan,0.2971902985074627,0.3912865671641791,0.0,True,-0.9211323729436766,0.14473331546502277,27,0.6973180076628352,182,0.8570646221248632,313,1.3877471129379526,709,2.8373557187827916,2028,2.666,2666,0.14473331546502277,0.03731
amazon,dominant_pygod,1,1.5,0.1,267,5821,5000,0.48590360790544357,0,0.0,0.0,1.9102790697674419,nan,0.37269701492537316,0.2922597014925373,0.0,True,-0.9211323729436766,0.09112838381131062,17,0.1264367816091954,33,0.11226725082146771,41,0.15658641612840085,80,0.5470444211262679,391,1.466,1466,0.09112838381131062,0.03731
amazon,dominant_pygod,1,2.0,0.1,267,5821,5000,-0.014161098545513317,0,0.0,0.0,0.6103090909090909,nan,0.6032611940298508,-0.1702626865671642,1.0,True,-0.9211323729436766,0.05360493165371214,10,0.10727969348659003,28,0.10405257393209201,38,0.09982384028185555,51,0.11052815669814622,79,0.16099999999999998,161,0.05360493165371214,0.03731
amazon,dominant_pygod,1,2.5,0.1,267,5821,5000,-0.6267885330753932,0,0.0,0.0,0.2607458646616541,nan,0.7996179104477612,-0.2104686567164179,1.0,True,-0.9211323729436766,0.037523452157598496,7,0.06896551724137931,18,0.1067907995618839,39,0.0939518496770405,48,0.09094088842252536,65,0.104,104,0.037523452157598496,0.03731
amazon,dominant_pygod,1,3.0,0.1,267,5821,5000,-0.8533679436947311,0,0.0,0.0,0.1652297520661157,nan,0.8574865671641791,-0.2160686567164179,1.0,True,-0.9211323729436766,0.021441972661484857,4,0.07279693486590037,19,0.08488499452354875,31,0.08612252887062047,44,0.09233997901364113,66,0.087,87,0.021441972661484857,0.03731
amazon,dominant_pygod,2,-0.5,0.1,267,5821,5000,0.9347659046044684,3496,0.9113272311212814,0.37758830694275275,3.3248242424242425,10.60967162471396,0.12822313432835822,0.5742,0.0,True,-0.9211323729436766,15.293487000804072,2853,11.452107279693486,2989,8.825301204819278,3223,6.692111959287531,3419,5.14585519412382,3678,3.8890000000000002,3889,15.293487000804072,0.03731
amazon,dominant_pygod,2,0.0,0.1,267,5821,5000,0.9185849437917223,3354,0.9031007751937985,0.39585870889159563,3.2899030303030306,10.5138992248062,0.13784328358208955,0.5639313432835822,0.0,True,-0.9211323729436766,15.470383275261325,2886,11.36015325670498,2965,8.795180722891567,3212,6.686239968682717,3416,5.067506121021337,3622,3.894,3894,15.470383275261325,0.03731
