sigma,cross_multiplier,theta,neighbor_noise_fraction,all_null,method,independent_repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_mean,null_tail001_mcse,n_calib_mean,n_calib_mcse,edges_mean,edges_mcse,clipped_probability_fraction_mean,clipped_probability_fraction_mcse
0.0,4.0,0.0,0.5,0,matched_random,500,0.0012592592592592592,0.0012592592592592592,0.002,0.002,0.162,0.16199999999999998,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.5,0,mixture_half,500,0.0012307692307692308,0.0012307692307692306,0.002,0.002,0.156,0.156,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.5,0,partial_filtered,500,0.062395667587836184,0.003243090894391942,0.6945999999999999,0.01882496553898511,22.972,0.6356024015260258,0.006622222222222222,0.00038979197661713195,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.5,0,partial_random,500,0.06543327009791651,0.0033792562932992163,0.7066,0.018566459488739504,23.458,0.6313014771962919,0.006962962962962963,0.0004138243521923262,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.0,0,oracle_filtered,500,0.15387107609472297,0.012974404280656921,0.222,0.018604414758250098,22.964,2.0066316426036432,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.0,0,matched_random,500,0.0012105263157894737,0.0012105263157894737,0.002,0.002,0.152,0.15199999999999997,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.0,0,mixture_half,500,0.0035068939118025255,0.0020439003428423513,0.006,0.003457152557758369,0.454,0.2677295767234263,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.0,0,partial_filtered,500,0.09687537040436581,0.004408395844512328,0.9157333333333334,0.01241468018612655,31.172,0.46555592213317026,0.010600000000000002,0.0005946430605524682,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.0,0,partial_random,500,0.0675934649046018,0.0033478173106703552,0.8935333333333333,0.013774624839458407,29.214,0.4677242134845699,0.007474074074074075,0.0004487555331013501,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.5,0,oracle_filtered,500,0.16450325051272602,0.013475442063360118,0.232,0.018896193591952035,25.364,2.1565445455064234,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
