seed,trim,method,repetitions,n_calib,pool_size,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,tail001_mean,tail001_mcse,tail005_mean,tail005_mcse,tail001_exact,tail001_error,tail001_zerror,tail005_exact,tail005_error,tail005_zerror
3,0.01,random_full,200,4000,5977,0.07975,0.0002525638409408702,0.033328530259365996,0.0001183772279634025,12.565,0.04107689810330065,0.0078425,9.826238461973014e-05,0.040894999999999994,9.606517364757998e-05,0.00780871893458008,3.378106541992044e-05,0.3437843031252625,0.04072683406475228,0.0001681659352477105,1.7505400642342652
3,0.05,clean,200,1593,4062,0.06557247579428868,0.0014184217226561272,0.2352593659942363,0.000714477783201079,87.475,0.3953204602998158,0.007790000000000002,0.00016443752154682433,0.04455,0.00031461470413873143,0.007534427874688194,0.0002555721253118077,1.554220246739929,0.04464672538114606,-9.672538114605805e-05,-0.30744075173106455
3,0.05,random,200,1593,5655,0.04491507490922684,0.0007763726546178405,0.2235446685878963,0.00029990085261568213,81.24,0.16106429940465877,0.0045449999999999996,0.00010551322287279934,0.041672499999999994,0.0002959865010333577,0.004499581353932198,4.541864606780188e-05,0.4304545423899712,0.041846876850332594,-0.00017437685033259986,-0.5891378482593285
3,0.05,exposed_only,200,1593,1593,0.01298701298701299,1.2297128680066881e-19,0.21902017291066278,3.935081177621402e-18,77.0,0.0,0.0020000000000000005,3.0742821700167204e-20,0.03699999999999999,4.918851472026753e-19,0.002,4.336808689942018e-19,4.336808689942018e-07,0.037,-6.938893903907228e-18,-6.938893903907228e-06
3,0.05,random_full,200,4000,5655,0.04806814035460616,0.0003404474981964291,0.22293948126801155,0.00012764355508179052,81.27,0.06600974497875903,0.004634999999999999,3.626916405579997e-05,0.04146249999999999,0.00014159613723686813,0.0045941570378245575,4.084296217544189e-05,1.126107073011254,0.04150482430363893,-4.2324303638936744e-05,-0.298908603475071
4,0.0,clean,200,1769,4289,0.09058785877658566,0.015309354149179763,0.010144092219020174,0.0019259501090273757,8.645,1.5958787610907361,0.029550000000000007,0.00012267946550373215,0.0788125,0.00028743444740982077,0.029525171416958575,2.482858304143215e-05,0.2023858103675616,0.0785836334284399,0.00022886657156009904,0.7962391899179143
4,0.0,random,200,1769,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.011025,0.00013160919382587785,0.056749999999999995,0.00039411499992493196,0.0106402885353376,0.00038471146466239996,2.923135181356574,0.056344293655962614,0.00040570634403738065,1.0294110706637822
4,0.0,exposed_only,200,1769,1769,0.0,0.0,0.0,0.0,0.0,0.0,0.0065000000000000014,1.2297128680066881e-19,0.023,0.0,0.0065,1.734723475976807e-18,1.734723475976807e-06,0.023,0.0,0.0
4,0.0,random_full,200,4000,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.01093,7.02686874945808e-05,0.0567825,0.000180645739406799,0.010898337069805244,3.16629301947563e-05,0.45059800209301165,0.05661026189388391,0.0001722381061160863,0.9534578932316836
4,0.01,clean,200,1778,4199,0.1943068966964062,0.00398941276108112,0.04930835734870316,0.001030349619053526,21.85,0.6501159540949939,0.0163925,0.00013758859639990693,0.05660000000000001,0.00028235371095569514,0.016545007056583873,-0.00015250705658387265,-1.108428028007529,0.056698646732324956,-9.864673232494459e-05,-0.34937289115503606
4,0.01,random,200,1778,5977,0.09468627450980392,0.006418192872999589,0.0207492795389049,0.001409146693262903,8.775,0.5945496796803781,0.007975,0.00013462912017836258,0.0437725,0.0002983159917009522,0.00805994862635362,-8.494862635362137e-05,-0.6309825559364697,0.04357074980019121,0.0002017501998087881,0.6762969650350935
4,0.01,exposed_only,200,1778,1778,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000005,3.0742821700167204e-20,0.018499999999999996,2.4594257360133763e-19,0.002,4.336808689942018e-19,4.336808689942018e-07,0.0185,-3.469446951953614e-18,-3.469446951953614e-06
